SKU,name,orderedQuantity,stockLevel,restockingLeadTime,ratio,comments
GGOEGEHQ072499,2200mAh Micro Charger,34,38,11,0.8947368421,
GGOEGALQ036615,Women's Scoop Neck Tee White,43,50,11,0.86,
GGOEYAEJ029614,Women's Short Sleeve Tri-blend Badge Tee Grey,1,1,11,1,
GGOEGADJ059815,Men's Convertible Vest-Jacket Pewter,1,1,11,1,
GGOEAAEB028314,Android Women's Short Sleeve Hero Tee Black,1,1,11,1,
GGOEGATC060316,Women's 1/4 Zip Performance Pullover Two-Tone Blue,1,1,11,1,
GGOEWXXX0835,Men's Typography Short Sleeve Tee,1,1,11,1,
GGOEGATB060414,Women's Quilted Insulated Vest Black,2,2,11,1,
GGOEWAAJ082817,Men's Short Sleeve Tee,2,2,11,1,
GGOEWAAJ082813,Men's Short Sleeve Tee,2,2,11,1,
GGOEYAEJ029517,Women's Short Sleeve Tri-blend Badge Tee Charcoal,3,3,11,1,
GGOEGAAB058915,Men's Short Sleeve Performance Badge Tee Black,6,7,11,0.8571428571,
GGOEGAEC029114,Women's Short Sleeve Hero Tee Sky Blue,7,8,11,0.875,
GGOEGAYR068256,Youth Short Sleeve Tee Red,8,10,11,0.8,
GGOEGAAX0684,Youth Short Sleeve T-shirt Green,11,12,11,0.9166666667,
GGOEGAAJ059116,Men's Short Sleeve Performance Badge Tee Pewter,13,15,11,0.8666666667,
GGOEGAPB058213,Women's Lightweight Microfleece Jacket,15,16,11,0.9375,
GGOEGAAX0284,Women's  Short Sleeve Hero Tee Black,22,23,11,0.9565217391,
GGOEGAAX0614,Onesie Heather,25,26,11,0.9615384615,
GGOEGATH060713,Women's Convertible Vest-Jacket Sea Foam Green,27,32,11,0.84375,
GGOEGAEB027815,Women's Short Sleeve Hero Tee Black,163,200,11,0.815,
GGOEGPJC019099,"7"" Dog Frisbee",133,154,11,0.8636363636,
GGOENEBQ079099,Protect Smoke + CO White Battery Alarm-USA,999,325,11,3.073846154,
GGOEGBJC019999,Collapsible Shopping Bag,1184,117,11,10.11965812,
GGOEGEHQ072499,2200mAh Micro Charger,34,38,11,0.8947368421,
GGOEGALQ036615,Women's Scoop Neck Tee White,43,50,11,0.86,
GGOEYAEJ029614,Women's Short Sleeve Tri-blend Badge Tee Grey,1,1,11,1,
GGOEGADJ059815,Men's Convertible Vest-Jacket Pewter,1,1,11,1,
GGOEAAEB028314,Android Women's Short Sleeve Hero Tee Black,1,1,11,1,
GGOEGATC060316,Women's 1/4 Zip Performance Pullover Two-Tone Blue,1,1,11,1,
GGOEWXXX0835,Men's Typography Short Sleeve Tee,1,1,11,1,
GGOEGATB060414,Women's Quilted Insulated Vest Black,2,2,11,1,
GGOEWAAJ082817,Men's Short Sleeve Tee,2,2,11,1,
GGOEWAAJ082813,Men's Short Sleeve Tee,2,2,11,1,
GGOEYAEJ029517,Women's Short Sleeve Tri-blend Badge Tee Charcoal,3,3,11,1,
